PID,object,location,object_and_location
0,0.16666666666666666,0.27777777777777773,0.5555555555555555
1,0.0,0.3333333333333333,0.6666666666666666
2,0.38888888888888884,0.19444444444444442,0.5
3,0.0,0.3055555555555555,0.6944444444444443
4,0.9166666666666666,0.6666666666666666,0.0
5,0.08333333333333333,0.47222222222222215,0.5277777777777778
6,0.611111111111111,0.611111111111111,0.3055555555555555
7,0.3611111111111111,0.38888888888888884,0.5277777777777778
8,0.2222222222222222,0.38888888888888884,0.5
9,0.0,0.08333333333333333,0.9166666666666666
10,0.4166666666666667,0.611111111111111,0.3055555555555555
11,0.08333333333333333,0.27777777777777773,0.6388888888888888
12,0.5,0.47222222222222215,0.3333333333333333
13,0.3333333333333333,0.5,0.4166666666666667
14,0.8055555555555555,0.5833333333333334,0.08333333333333333
15,0.3055555555555555,0.4166666666666667,0.47222222222222215
16,0.4166666666666667,0.47222222222222215,0.27777777777777773
17,0.1111111111111111,0.6388888888888888,0.3611111111111111
18,0.2222222222222222,0.4166666666666667,0.47222222222222215
19,0.5555555555555555,0.6388888888888888,0.16666666666666666
20,0.6388888888888888,0.3611111111111111,0.08333333333333333
21,0.5555555555555555,0.47222222222222215,0.3333333333333333
22,0.0,0.27777777777777773,0.7222222222222222
23,0.27777777777777773,0.38888888888888884,0.5277777777777778
24,0.4444444444444444,0.6666666666666666,0.3333333333333333
25,0.3611111111111111,0.27777777777777773,0.5277777777777778
26,0.7222222222222222,0.611111111111111,0.16666666666666666
27,0.16666666666666666,0.16666666666666666,0.8333333333333334
28,0.27777777777777773,0.4444444444444444,0.3611111111111111
29,0.25,0.5833333333333334,0.3333333333333333
30,0.611111111111111,0.7222222222222222,0.16666666666666666
31,0.25,0.19444444444444442,0.6388888888888888
32,0.7222222222222222,0.6944444444444443,0.0
33,0.3333333333333333,0.5277777777777778,0.3611111111111111
34,0.16666666666666666,0.5,0.4166666666666667
35,0.2222222222222222,0.4444444444444444,0.4444444444444444
36,0.5277777777777778,0.7222222222222222,0.16666666666666666
37,0.611111111111111,0.4166666666666667,0.19444444444444442
38,0.25,0.5277777777777778,0.3055555555555555
39,0.3333333333333333,0.2222222222222222,0.6666666666666666
